,title,pubtime,linkurl,keyword,editor,author,sourcename
46,李兰娟认为北京新冠疫情可能将全面大暴发？,2020-06-18 15:50:02,http://www.piyao.org.cn/2020-06/18/c_1210666898.htm,0,殷荧,,健康时报
47,邢台南宫某超市员工去新发地批发购物，现已被隔离，有人核酸阳性？,2020-06-18 10:41:32,http://www.piyao.org.cn/2020-06/18/c_1210666347.htm,0,殷荧,,南宫发布微信公众号
48,武汉雄楚广场2家酒店分别发现2例新冠肺炎？,2020-06-18 10:41:32,http://www.piyao.org.cn/2020-06/18/c_1210666342.htm,0,殷荧,,@健康武汉官微
49,常州某小区有新冠肺炎确诊病例，被防疫车送到三院？,2020-06-18 10:41:32,http://www.piyao.org.cn/2020-06/18/c_1210666326.htm,0,殷荧,,健康常州微信公众号
50,上海嘉里中心3名北京来沪人员发烧？,2020-06-18 10:41:32,http://www.piyao.org.cn/2020-06/18/c_1210666308.htm,0,殷荧,,上观新闻
51,北京：严格出京管理，并不意味着封城,2020-06-18 15:50:02,http://www.piyao.org.cn/2020-06/18/c_1210666935.htm,1,殷荧,,北京日报客户端
52,天津蓟州区下仓镇封村，批发水果村民新冠检测阳性？,2020-06-17 15:05:24,http://www.piyao.org.cn/2020-06/17/c_1210665229.htm,0,闫丹丹,,天津市蓟州区人民政府官方微博
53,北京西城区金融街链家地产经纪人已确诊新冠肺炎？,2020-06-17 15:05:21,http://www.piyao.org.cn/2020-06/17/c_1210665195.htm,0,闫丹丹,,北京市西城区人民政府官方微博
54,福州一酒店北京客人核酸检测阳性？,2020-06-17 14:47:58,http://www.piyao.org.cn/2020-06/17/c_1210665194.htm,0,殷荧,,福州市仓山区委宣传部微信公号
55,河北文安一菜市场出现夫妻新冠肺炎，已隔离？,2020-06-17 14:47:58,http://www.piyao.org.cn/2020-06/17/c_1210665187.htm,0,闫丹丹,,河北省文安县网信办微信公众号
56,15日起持有效签证和居留许可的外国人无法入境？谣言,2020-06-17 10:01:04,http://www.piyao.org.cn/2020-06/17/c_1210664536.htm,0,闫丹丹,,外交部网站
57,铁路部门公布进出北京地区列车免费退票措施,2020-06-17 14:47:58,http://www.piyao.org.cn/2020-06/17/c_1210665181.htm,1,殷荧,,中国铁路微信公众号
58,北京多条高速公路双向封闭？谣言,2020-06-17 10:01:04,http://www.piyao.org.cn/2020-06/17/c_1210664558.htm,0,闫丹丹,,北京日报客户端
59,新发地几万人被运送到河北唐山隔离？谣言,2020-06-17 10:01:13,http://www.piyao.org.cn/2020-06/17/c_1210664575.htm,0,闫丹丹,,北京市丰台区政府官方微博
60,工体夜店和附近餐厅从业人员检测出新冠病毒？谣言,2020-06-17 10:01:04,http://www.piyao.org.cn/2020-06/17/c_1210664597.htm,0,闫丹丹,,央视新闻客户端
62,北京自来水加大氯气注入，需静置两小时以上再用？,2020-06-16 15:54:41,http://www.piyao.org.cn/2020-06/16/c_1210663586.htm,0,殷荧,,北京日报客户端
63,北京突发公共卫生事件应急响应级别上调为二级,2020-06-17 10:01:04,http://www.piyao.org.cn/2020-06/17/c_1210664601.htm,1,闫丹丹,,北京市人民政府网站
64,发往北京的快递停运？,2020-06-16 14:58:30,http://www.piyao.org.cn/2020-06/16/c_1210663549.htm,0,殷荧,,中国邮政快递报社
65,进京高速因疫情影响封路？,2020-06-16 14:55:18,http://www.piyao.org.cn/2020-06/16/c_1210663463.htm,0,闫丹丹,张静姝 裴剑飞,新京报
66,天津王顶堤批发市场检出十几个新冠病毒携带者？,2020-06-16 14:13:14,http://www.piyao.org.cn/2020-06/16/c_1210663155.htm,0,闫丹丹,,天津网信办官方微博
67,绥芬河口岸旅检通道将于6月16日起重新开放？,2020-06-15 14:16:53,http://www.piyao.org.cn/2020-06/15/c_1210661469.htm,0,闫丹丹,,中国驻符拉迪沃斯托克总领馆
68,北京五棵松华熙“沦陷”？,2020-06-15 14:40:57,http://www.piyao.org.cn/2020-06/15/c_1210661884.htm,0,闫丹丹,,新京报
69,北京用大数据锁定35万人筛查病毒？,2020-06-15 11:02:25,http://www.piyao.org.cn/2020-06/15/c_1210661399.htm,0,殷荧,,新京报
70,北京地铁为防疫情卸掉座椅？,2020-06-15 11:02:25,http://www.piyao.org.cn/2020-06/15/c_1210661487.htm,0,闫丹丹,,新京报我们视频官方微博
72,北京断粮了？,2020-06-15 09:10:13,http://www.piyao.org.cn/2020-06/15/c_1210661193.htm,0,闫丹丹,,新华社
73,到北京欢乐谷游玩的宋某核酸检测呈阳性？,2020-06-15 08:55:13,http://www.piyao.org.cn/2020-06/15/c_1210660703.htm,0,殷荧,,新华社
74,通过停车场汽车数量推断疫情发生时间？,2020-06-12 10:42:31,http://www.piyao.org.cn/2020-06/12/c_1210657814.htm,0,周文婧,,外交部网站
75,交通运输部：高风险地区地铁满载率应低于50%,2020-06-15 14:40:53,http://www.piyao.org.cn/2020-06/15/c_1210661897.htm,1,闫丹丹,,中国新闻网
76,中国参与了虚假信息宣传以扩大自身影响？,2020-06-11 16:26:32,http://www.piyao.org.cn/2020-06/11/c_1210656821.htm,0,张智萍,,新华社
77,北京市教委发布7条校园“新规”：上课全程戴口罩,2020-06-15 10:50:44,http://www.piyao.org.cn/2020-06/15/c_1210661454.htm,1,闫丹丹,,北京日报客户端
78,钟南山说，第二个疫情高峰要来？,2020-06-10 16:42:07,http://www.piyao.org.cn/2020-06/10/c_1210655191.htm,0,张智萍,,中国互联网联合辟谣平台
79,北京养老服务机构恢复执行二级疫情防控标准,2020-06-15 14:40:53,http://www.piyao.org.cn/2020-06/15/c_1210661889.htm,1,闫丹丹,,北京日报客户端
80,感染新型冠状病毒男性生育力会受影响？,2020-06-10 16:11:17,http://www.piyao.org.cn/2020-06/10/c_1210655129.htm,0,周文婧,,科学辟谣平台
81,咽拭子阳性就意味确诊新冠肺炎？,2020-06-15 08:55:13,http://www.piyao.org.cn/2020-06/15/c_1210660707.htm,2,殷荧,,科技日报
82,湖北突发公共卫生应急响应级别今日起下调至三级,2020-06-13 12:12:47,http://www.piyao.org.cn/2020-06/13/c_1210659289.htm,1,闫丹丹,,中国新闻网
83,用漂白剂洗水果蔬菜可预防新冠病毒？,2020-06-10 16:11:17,http://www.piyao.org.cn/2020-06/10/c_1210655131.htm,0,周文婧,,环球网
84,国家卫健委：发热门诊就诊患者必须进行核酸检测,2020-06-12 10:42:58,http://www.piyao.org.cn/2020-06/12/c_1210657825.htm,1,周文婧,,央视新闻客户端
85,中国石化熔喷布价格上调24%？,2020-06-10 10:25:10,http://www.piyao.org.cn/2020-06/10/c_1210654228.htm,0,周文婧,,中国石化官方微博
86,中国妨碍西方研发新冠疫苗？,2020-06-09 15:19:13,http://www.piyao.org.cn/2020-06/09/c_1210653124.htm,0,周文婧,,央视新闻
87,中外关系因疫情变消极？,2020-06-09 11:08:32,http://www.piyao.org.cn/2020-06/09/c_1210652783.htm,0,周文婧,,中国新闻网
88,新冠病毒不会倏然而去，冬秋季节要存戒惧之心,2020-06-10 16:11:17,http://www.piyao.org.cn/2020-06/10/c_1210655141.htm,1,周文婧,,北京日报微信公众号
89,宝鸡市政府发口罩费了？,2020-06-09 11:07:11,http://www.piyao.org.cn/2020-06/09/c_1210652716.htm,0,周文婧,马庆昆,宝鸡日报
90,中国媒体发布抗疫不实信息？,2020-06-07 15:10:36,http://www.piyao.org.cn/2020-06/07/c_1210650027.htm,0,张智萍,吴佳潼,中国网
91,网传四川乐山2020年暑假放假和开学时间？,2020-06-07 14:58:16,http://www.piyao.org.cn/2020-06/07/c_1210650064.htm,0,周文婧,,乐山教育微信公众号
92,口服或者注射消毒液是无稽之谈,2020-06-09 15:13:53,http://www.piyao.org.cn/2020-06/09/c_1210653145.htm,1,周文婧,,中国青年报
93,打工男子恶意将新冠病毒从湖北带回河南安阳？,2020-06-06 15:15:04,http://www.piyao.org.cn/2020-06/06/c_1210649085.htm,0,何舟,,平安内黄公众号
94,贵阳出现“复阳”病例？,2020-06-06 15:03:01,http://www.piyao.org.cn/2020-06/06/c_1210649076.htm,0,杜畅,,贵阳日报
95,中国新冠肺炎治愈率达到94.3%,2020-06-08 10:52:38,http://www.piyao.org.cn/2020-06/08/c_1210651079.htm,1,张智萍,,新华网
96,中医药参与救治新冠肺炎确诊病例占比达92%,2020-06-08 10:52:38,http://www.piyao.org.cn/2020-06/08/c_1210651077.htm,1,张智萍,,新华网
97,福州市小学预报名6月16日开始？,2020-06-05 15:52:57,http://www.piyao.org.cn/2020-06/05/c_1210647739.htm,0,殷荧,,福州教育微信公众号
98,哈尔滨市部分学校出现无症状感染者？,2020-06-05 15:52:57,http://www.piyao.org.cn/2020-06/05/c_1210645785.htm,0,殷荧,,生活报
99,2020年6月1日起，濮阳恢复机动车尾号限行措施？,2020-06-04 16:05:42,http://www.piyao.org.cn/2020-06/04/c_1210646590.htm,0,殷荧,,濮阳公安局交警支队微信公号
100,新冠肺炎的R0是5.7，高于常见的流行病？,2020-06-04 10:58:56,http://www.piyao.org.cn/2020-06/04/c_1210646114.htm,0,杜畅,,科学辟谣平台
101,6月6日起，天津市疫情防控应急响应级别由二级调整为三级,2020-06-07 15:00:42,http://www.piyao.org.cn/2020-06/07/c_1210650076.htm,1,周文婧,,天津政务网
102,常州溧阳一小学多名学生发热？,2020-06-03 11:18:56,http://www.piyao.org.cn/2020-06/03/c_1210644524.htm,0,殷荧,,人民网
103,6月6日起，河北省应急响应级别下调为三级,2020-06-06 15:22:12,http://www.piyao.org.cn/2020-06/06/c_1210649091.htm,1,杜畅,,河北省人民政府网站
104,南京浦口永宁小学发生聚集性疫情？,2020-06-02 14:27:55,http://www.piyao.org.cn/2020-06/02/c_1210643211.htm,0,殷荧,,中国经济网、健康浦口微信公号
105,北京解除湖北人员进京限制,2020-06-06 15:18:05,http://www.piyao.org.cn/2020-06/06/c_1210649090.htm,1,杜畅,,新华网公众号
106,6月6日起，北京应急响应级别下调为三级,2020-06-05 17:03:11,http://www.piyao.org.cn/2020-06/05/c_1210648164.htm,1,杜畅,,北京日报客户端
107,广安职业技术学院一学生感染新冠病毒？,2020-06-02 14:27:55,http://www.piyao.org.cn/2020-06/02/c_1210643237.htm,0,殷荧,,广安政法微信公众号
108,刮风下雨对新冠病毒传播有加速作用？,2020-06-01 16:11:09,http://www.piyao.org.cn/2020-06/01/c_1210642022.htm,0,杜畅,,人民网
109,民航局：风险可控前提下 可适度增加部分具备条件国家航班增幅,2020-06-04 10:59:05,http://www.piyao.org.cn/2020-06/04/c_1210646119.htm,1,殷荧,,中国民用航空局网站
110,中国被迫参加世卫大会决议？,2020-06-01 16:11:08,http://www.piyao.org.cn/2020-06/01/c_1210642014.htm,0,杜畅,,北京日报客户端
111,合肥高新区某工业园内发现6名新冠确诊病例？,2020-05-31 14:09:10,http://www.piyao.org.cn/2020-05/31/c_1210640274.htm,0,董晓,,＠包河公安
112,文化和旅游部：有序恢复社会艺术水平考级活动,2020-06-04 16:03:50,http://www.piyao.org.cn/2020-06/04/c_1210646615.htm,1,杜畅,,新华社
113,芜湖市出现一例新冠肺炎确诊病例？,2020-05-30 13:50:35,http://www.piyao.org.cn/2020-05/30/c_1210639323.htm,0,谢博隆,@芜湖发布,@芜湖发布
114,吉林省舒兰市风险等级由高风险调整为低风险,2020-05-11 13:24:58,http://www.piyao.org.cn/2020-05/11/c_1210613253.htm,1,殷荧,,@吉林省卫生健康委
115,上海市黄浦区一餐饮店出现新冠肺炎确诊病例？,2020-05-30 11:14:26,http://www.piyao.org.cn/2020-05/30/c_1210639280.htm,0,谢博隆,上观新闻,上观新闻
116,武汉完成近990万人集中核酸检测 无症状感染者检出率仅0.303/万,2020-06-03 11:19:15,http://www.piyao.org.cn/2020-06/03/c_1210644528.htm,1,殷荧,,新华社
117,东京奥运会协调委员会主席：受疫情影响，东京奥运会可能取消？,2020-05-29 10:32:35,http://www.piyao.org.cn/2020-05/29/c_1210637757.htm,0,张智萍,王子江,新华社客户端
118,世卫组织：新冠病毒“毒性”并未减弱,2020-06-02 16:22:09,http://www.piyao.org.cn/2020-06/02/c_1210643750.htm,1,杜畅,,新华社
119,中国限制防疫物资出口？,2020-05-26 11:02:46,http://www.piyao.org.cn/2020-05/26/c_1210633948.htm,0,芮静,,新华网
120,全国高等学校外语专业四、八级考试上半年不再举行,2020-06-02 16:30:59,http://www.piyao.org.cn/2020-06/02/c_1210643752.htm,1,殷荧,,高校外语专业教学测试办公室
121,中国控制世卫组织？,2020-05-26 11:08:31,http://www.piyao.org.cn/2020-05/26/c_1210633938.htm,0,芮静,马卓言,新华社
122,6月1日起，北京市恢复机动车尾号限行措施,2020-05-30 13:50:35,http://www.piyao.org.cn/2020-05/30/c_1210639327.htm,1,谢博隆,,首都之窗网站
123,中国正在“窃取”美国新冠病毒研究成果？,2020-05-26 11:03:46,http://www.piyao.org.cn/2020-05/26/c_1210633943.htm,0,芮静,,外交部发言人办公室
124,上海恢复隔离武汉来沪人员？,2020-05-26 11:05:43,http://www.piyao.org.cn/2020-05/26/c_1210633925.htm,0,芮静,毛锦伟,上海辟谣平台
126,中国利用疫情在南海扩大存在？,2020-05-25 10:16:51,http://www.piyao.org.cn/2020-05/25/c_1210632589.htm,0,张智萍,,中国新闻网
127,湖南浏阳某派出所全部隔离，一个犯罪嫌疑人核酸检测阳性？,2020-05-25 10:16:53,http://www.piyao.org.cn/2020-05/25/c_1210632595.htm,0,张智萍,,长沙晚报网
128,青岛出现健康码“红码”人员？,2020-05-25 10:16:55,http://www.piyao.org.cn/2020-05/25/c_1210632596.htm,0,张智萍,,齐鲁网
129,核酸检测，一家人只用查一个人？,2020-05-25 10:17:02,http://www.piyao.org.cn/2020-05/25/c_1210632599.htm,2,张智萍,,湖北日报
130,武汉：漏检居民将统一安排核酸检测,2020-05-25 14:30:44,http://www.piyao.org.cn/2020-05/25/c_1210632601.htm,1,张智萍,,武汉卫健委
131,因疫情防控需要，沈阳老年人免费乘车政策暂停？,2020-05-24 12:34:14,http://www.piyao.org.cn/2020-05/24/c_1210631486.htm,0,张智萍,,辽沈晚报
132,湖南月田有确诊病例，曾去过理发店？,2020-05-24 12:34:20,http://www.piyao.org.cn/2020-05/24/c_1210631488.htm,0,张智萍,,岳阳晚报
133,吉林市5月19日疫情传播链“断链”？,2020-05-23 15:36:26,http://www.piyao.org.cn/2020-05/23/c_1210630619.htm,0,周文婧,,人民日报客户端
134,因疫情防控需要，哈尔滨市暂停老年人免费乘车优惠？,2020-05-23 15:36:27,http://www.piyao.org.cn/2020-05/23/c_1210630626.htm,0,周文婧,,哈尔滨新闻网微信公众号
135,邢台市桥西区一小学附近有确诊病例？,2020-05-22 15:29:24,http://www.piyao.org.cn/2020-05/22/c_1210629521.htm,0,冯栋,,邢台桥西网信微信公号
136,唐山一医院科室因哈尔滨来的患者发烧致全科隔离等待核酸检测？,2020-05-22 15:29:24,http://www.piyao.org.cn/2020-05/22/c_1210629519.htm,0,冯栋,,河北日报微信公号
137,大连紧急排查吉林来普王某？,2020-05-22 15:29:24,http://www.piyao.org.cn/2020-05/22/c_1210629511.htm,0,冯栋,,普兰店发布微信公号
138,赣州南康发布疫情防控《20号令》？,2020-05-22 15:29:24,http://www.piyao.org.cn/2020-05/22/c_1210629528.htm,0,冯栋,,南方康发布微信公号
139,长春一摊主感染，7家店铺被封？,2020-05-21 17:12:32,http://www.piyao.org.cn/2020-05/21/c_1210628378.htm,0,冯栋,,@长春发布
140,张业遂：中国并不存在大规模外资撤离情况,2020-05-22 10:24:13,http://www.piyao.org.cn/2020-05/22/c_1210629105.htm,1,冯栋,,@人民网
141,全国停办因私护照？,2020-05-21 15:43:39,http://www.piyao.org.cn/2020-05/21/c_1210628234.htm,0,殷荧,,澎湃新闻
142,四川广元发现一例确诊病例？,2020-05-21 14:55:37,http://www.piyao.org.cn/2020-05/21/c_1210628207.htm,0,殷荧,,四川在线
143,安徽六安第二人民医院确诊一例？,2020-05-21 14:57:55,http://www.piyao.org.cn/2020-05/21/c_1210628209.htm,0,殷荧,,@六安发布
144,北京：乘坐公共交通、学校上课应戴口罩,2020-05-21 14:58:59,http://www.piyao.org.cn/2020-05/21/c_1210628216.htm,1,殷荧,,人民网
145,长春公共交通老年卡暂停使用？,2020-05-20 15:46:48,http://www.piyao.org.cn/2020-05/20/c_1210626618.htm,0,冯栋,,@长春发布
146,长春有一吉林密切接触者逃跑失踪？,2020-05-20 15:46:48,http://www.piyao.org.cn/2020-05/20/c_1210626613.htm,0,冯栋,,@长春发布
147,云南昆明出现新确诊新冠肺炎病例？,2020-05-20 15:41:25,http://www.piyao.org.cn/2020-05/20/c_1210626534.htm,0,冯栋,缪超,中国新闻网
148,跑沈阳线路的大连列车员确诊，接触600人？,2020-05-20 13:19:06,http://www.piyao.org.cn/2020-05/20/c_1210626203.htm,0,冯栋,,@大连发布
149,中国防疫“不透明”？,2020-05-20 13:19:06,http://www.piyao.org.cn/2020-05/20/c_1210626191.htm,0,冯栋,,央视新闻微信公号
150,疫苗瓶短缺将影响疫苗生产？,2020-05-19 15:32:14,http://www.piyao.org.cn/2020-05/19/c_1210625132.htm,0,冯栋,,中国疫苗行业协会微信公号
151,鸡屎藤能预防新冠病毒？,2020-05-19 10:17:10,http://www.piyao.org.cn/2020-05/19/c_1210624429.htm,0,冯栋,郭姣,科学辟谣平台
152,“川崎病”症状已确定为新冠病毒感染引发的新症状？,2020-05-19 10:17:10,http://www.piyao.org.cn/2020-05/19/c_1210624419.htm,0,冯栋,程芳,科学辟谣平台
153,有“黄牛”在珠海兜售核酸采样证明？,2020-05-18 15:12:23,http://www.piyao.org.cn/2020-05/18/c_1210623565.htm,0,殷荧,,珠海发布微信公号
154,吉林市、舒兰市上千人流动至长春？,2020-05-18 09:45:26,http://www.piyao.org.cn/2020-05/18/c_1210622938.htm,0,冯栋,,中国吉林网
155,用抗体阳性率能推算当前武汉无症状感染者？,2020-05-19 10:17:10,http://www.piyao.org.cn/2020-05/19/c_1210624444.htm,2,冯栋,黄琪,长江网
156,东莞厚街卓业大厦出现疑似病例？,2020-05-18 09:45:26,http://www.piyao.org.cn/2020-05/18/c_1210622904.htm,0,冯栋,,东莞市卫生健康局微信公号
157,朝阳市发现确诊病例和疑似病例？,2020-05-18 09:45:26,http://www.piyao.org.cn/2020-05/18/c_1210622857.htm,0,冯栋,,辽宁省卫健委、朝阳日报
158,网传上海嘉定出现初二学生新冠肺炎疑似病例？,2020-05-16 15:01:12,http://www.piyao.org.cn/2020-05/16/c_1210620962.htm,0,董晓,,@浦东发布
159,甘肃省确定幼儿园和特殊教育学校开学时间,2020-05-19 15:32:14,http://www.piyao.org.cn/2020-05/19/c_1210625143.htm,1,冯栋,,@甘肃省教育厅
161,重庆放暑假时间定了，小学7月5日，中学7月11日？,2020-05-16 15:04:22,http://www.piyao.org.cn/2020-05/16/c_1210620941.htm,0,董晓,,网信重庆微信公众号
162,黑龙江高校学生可返校复课,2020-05-19 15:32:14,http://www.piyao.org.cn/2020-05/19/c_1210625145.htm,1,冯栋,,人民网
163,中国拒绝世卫组织参观武汉实验室？,2020-05-15 15:28:10,http://www.piyao.org.cn/2020-05/15/c_1210619922.htm,0,闫丹丹,,中国新闻网
164,山东海阳一女子血清检测IgM抗体阳性？,2020-05-15 15:28:10,http://www.piyao.org.cn/2020-05/15/c_1210619928.htm,0,闫丹丹,,海阳市卫生健康局官方微信
165,新冠病毒疫苗临床试验目前未收到有重大不良反应报告,2020-05-16 15:06:19,http://www.piyao.org.cn/2020-05/16/c_1210620897.htm,1,董晓,,新华网
166,上海幼儿园6月2日开学，中福会幼儿园已通知？,2020-05-15 10:21:14,http://www.piyao.org.cn/2020-05/15/c_1210619447.htm,0,闫丹丹,,上观新闻
167,6月7日起，吉林市丰满区风险等级由高风险调整为低风险,2020-05-17 13:54:47,http://www.piyao.org.cn/2020-05/17/c_1210622144.htm,1,周文婧,,吉林省卫生健康委员会网站
168,中国通过推特散播虚假信息？,2020-05-14 13:39:49,http://www.piyao.org.cn/2020-05/14/c_1210618344.htm,0,张智萍,,中国新闻网
170,河北明确高校、中小学、幼儿园复学复课时间,2020-05-16 15:57:07,http://www.piyao.org.cn/2020-05/16/c_1210621242.htm,1,董晓,,河北教育发布微信公众号
171,北京中小学6月开学，暑假会推迟？,2020-05-16 15:07:23,http://www.piyao.org.cn/2020-05/16/c_1210618345.htm,0,张智萍,,北京日报
172,武汉三民小区89岁确诊患者因捡垃圾感染？,2020-05-14 13:40:39,http://www.piyao.org.cn/2020-05/14/c_1210618339.htm,0,张智萍,,武汉发布
