,keyword,title,summary,link,visible_link,date,rank,label
12,疫情期间大强度锻炼可提高抵抗力,【疫情新热点·专家来解读】【够科普】疫情期间是否可以通过大 ...,2020年3月2日 - 央视网消息：都说体育锻炼能够增强体质、提高免疫力。疫情期间是否可以通过大强度的锻炼来提高抵抗力？国家体育总局体育科学研究所研究员 ...,http://www.plxww.com/contents/22/31536.html,www.plxww.com › contents,2020年3月2日,13,0
13,疫情期间大强度锻炼可提高抵抗力,居家健身抗击疫情——健肺运动守护健康 - 国家体育总局,2020年2月5日 - 他指出，“运动锻炼对身体健康有很关键的作用，能让人保持年轻的心态，只有 ... 对于免疫力低下的老年人，梁辰说道：“适当运动可以帮助提高老年人的免疫力， ... 微微出汗即可，可以通过运动中能说话不能唱歌来判断运动强度是否过大。 ... 对于跑步这项运动，在疫情期间，大家看法不一，有人认为可以提高心肺耐力， ...,http://www.sport.gov.cn/n317/n346/c942056/content.html,www.sport.gov.cn › content,2020年2月5日,14,0
14,疫情期间大强度锻炼可提高抵抗力,疫情期间是否可以通过大强度的锻炼来提高抵抗力？ - 微信公众 ...,没有此网页的信息。。了解原因,https://mp.weixin.qq.com/s?__biz=MjM5NjI2ODA4Mw==&mid=2653032540&idx=3&sn=b28f2ef0f37600a680c4fe18c76157db&chksm=bd3d61008a4ae8169154f42188735dd303c034dd1d6f9deb0c2a2bc339573ab6b0094e7e1a7c&mpshare=1&scene=23&srcid=&sharer_sharetime=1583481045052&sharer_s,mp.weixin.qq.com › sharer_s,,15,0
15,疫情期间大强度锻炼可提高抵抗力,疫情期间是否可以通过大强度的锻炼来提高抵抗力？ - 贵州省科协,2020年3月11日 - 国家体育总局体育科学研究所研究员徐建方. 首先要明确，居家健身不适宜进行长时间大强度锻炼。在居家防疫期间，为确保运动安全有效，运动强度 ...,http://www.gzast.org/qlyfzhyqfkgzqbrmqzgkaq/fkkp/17476.shtml,www.gzast.org › qlyfzhyqfkgzqbrmqzgkaq › fkkp,2020年3月11日,16,0
16,疫情期间大强度锻炼可提高抵抗力,【够科普】疫情期间是否可以通过大强度锻炼来提高抵抗力？_聚 ...,2020年3月2日 - 都说体育锻炼能够增强体质、提高免疫力。疫情期间是否可以通过大强度的锻炼来提高抵抗力？,http://www.gstv.com.cn/news/folder13/2020-03-02/1118131.html,www.gstv.com.cn › news › folder13,2020年3月2日,17,0
17,疫情期间大强度锻炼可提高抵抗力,疫情期间是否可以通过大强度锻炼来提高抵抗力？(含视频)_ ...,2020年3月1日 - 原标题：【够科普】疫情期间是否可以通过大强度锻炼来提高抵抗力？央视网消息：都说体育锻炼能够增强体质、提高免疫力。疫情期间...,http://news.sina.cn/2020-03-02/detail-iimxxstf5784864.d.html?cre=wappage&mod=r&loc=5&r=9&rfunc=90&tj=none&wm=3236,news.sina.cn › detail-iimxxstf5784864.d.html,2020年3月1日,18,0
18,疫情期间大强度锻炼可提高抵抗力,疫情期间大强度锻炼，能提高抵抗力？ - 舟山网,2020年3月4日 - 浙江辟谣网据丁香医生消息 疫情期间，高强度锻炼能提高抵抗力吗？国家体育总局体育科学研究所研究院表示：长时间大强度的运动，会导致身体 ...,http://www.zhoushan.cn/rdzz/pyt/news/202003/t20200304_964378.shtml,www.zhoushan.cn › rdzz › pyt › news,2020年3月4日,19,0
19,疫情期间大强度锻炼可提高抵抗力,疫情期间是否可以通过大强度的锻炼来提高抵抗力？_正义网,2020年3月2日 - 强度过低，没有锻炼效果，但是长时间大强度的运动，会导致身体机能失调，免疫功能下降，并且运动损伤风险增加。居家健身运动强度适宜，主要表现是: ...,http://news.jcrb.com/jszx/202003/t20200302_2123064.html,news.jcrb.com › 即时资讯,2020年3月2日,20,0
20,吃降压药会增加感染病毒的风险,服用降压药会增加感染新型冠状病毒的风险？这些疫情谣言别轻信,2020年3月1日 - 谣言二、服用降压药会增加感染新冠病毒的风险？ 网传消息称，ACE2（肽基二肽酶A）是新型冠状病毒入侵人体的关键，服用ACEI（血管紧张素转化酶 ...,http://www.piyao.org.cn/2020-03/01/c_1210495936.htm,www.piyao.org.cn › ...,2020年3月1日,1,0
21,吃降压药会增加感染病毒的风险,服用降压药会增加感染新型冠状病毒的风险？这些疫情谣言别 ...,2020年3月2日 - 因此，外面穿着防静电服，不能达到更好地隔绝新型冠状病毒的效果。 谣言5. 家畜家禽海鲜都不能吃了. 近日，网上流传一则消息称：家畜家禽海鲜都 ...,http://www.shiyan.gov.cn/2020ztzl/zzcc/zxpy/202003/t20200302_2009987.shtml,www.shiyan.gov.cn › ... › 在线辟谣,2020年3月2日,2,0
22,吃降压药会增加感染病毒的风险,服用降压药会增加感染风险？ 谣言-新华网 - 新华网浙江,2020年3月3日 - 网传消息称，ACE2是新型冠状病毒入侵人体的关键，服用ACEI类降压药会增加ACE2浓度，从而增加感染新冠病毒的风险。真相是，目前无任何动物 ...,http://www.zj.xinhuanet.com/2020-03/03/c_1125655744.htm,www.zj.xinhuanet.com › ...,2020年3月3日,3,0
23,吃降压药会增加感染病毒的风险,吃降压药会增加新冠病毒感染概率？ - 学习强国,2020年2月29日 - 吃降压药会增加新冠病毒感染概率？ ... 谣言：前不久，一款号称在家就可以自测是否感染了新冠病毒的检验试剂盒悄悄在微信朋友圈中露面。卖家宣称， ... 服用ACEI/ARB药物会增加感染新冠病毒风险的结论仅仅只是理论上的推导。,https://article.xuexi.cn/articles/index.html?part_id=8367355959313294973&art_id=8367355959313294973&item_id=8367355959313294973&study_style_id=feeds_default&pid=&ptype=-1&source=share&share_to=wx_single,article.xuexi.cn › articles,2020年2月29日,4,0
24,吃降压药会增加感染病毒的风险,【2020.2.28】谣言，别信！——服用降压药会加速新冠病毒复制 ...,2020年2月28日 - 服用降压药会加速新冠病毒复制，疫情期间应停服？ 21:44 网 ... 服用ACEI/ARB药物会增加感染新冠病毒风险的结论仅仅只是理论上的推导。目前还 ...,http://news.cbg.cn/hotnews/2020/0228/11541571.shtml,news.cbg.cn › hotnews,2020年2月28日,5,0
25,吃降压药会增加感染病毒的风险,#捉谣记#吃降压药会增加感染风险？鸡屎藤可预防感染？这些 ...,2020年3月4日 - 浙江辟谣网据天目新闻消息：服用降压药会增加感染病毒的风险？鸡屎藤、安宫牛黄丸可以预防新冠肺炎？新一波谣言又来了，千万别信！,https://www.jhnews.com.cn/wxtt/202003/t20200304_260469.shtml,www.jhnews.com.cn › wxtt,2020年3月4日,6,0
26,吃降压药会增加感染病毒的风险,解药|一类降压药助长新冠风险？医学专家不建议停药_财新网_ ...,2020年3月31日 - 降压药新冠ACE2被怀疑是人体中的“伪军”，会增加新冠病毒入侵几率， ... 剂）类的降压药，会增加ACE2浓度，增加感染新冠病毒的概率，并在感染后 ...,http://www.caixin.com/2020-03-31/101536723.html,www.caixin.com › 健康,2020年3月31日,7,0
27,吃降压药会增加感染病毒的风险,吃降压药会增加新冠病毒感染概率？-新闻中心-温州网,2020年3月1日 - 机体感染病毒与否，更要看病毒接触的剂量、毒株等，并不是一味的降低ACE2就可以。服用ACEI/ARB药物会增加感染新冠病毒风险的结论仅仅只是 ...,http://news.66wz.com/system/2020/03/01/105241654.shtml,news.66wz.com › system › 2020/03/01,2020年3月1日,8,0
28,吃降压药会增加感染病毒的风险,谣言粉碎机｜吃降压药会增加感染病毒的风险？ - 知乎,2020年3月11日 - 在严峻的疫情面前恐慌情绪不断蔓延，而这种特殊的时刻恰恰是谣言诞生的温床。这时分辨信息的真假也尤为重要，接下来刺猬安全就带着大家一起 ...,https://zhuanlan.zhihu.com/p/112463256,zhuanlan.zhihu.com › ...,2020年3月11日,9,0
29,吃降压药会增加感染病毒的风险,较真丨服用降压药会增加感染新冠病毒的风险吗？ - 腾讯,2020年3月4日 - 病毒越是攻击这个东西，免疫反应和病毒反着来，自然就是越增加这个东西，这和服用降压药的作用是一致的，所以吃药应该会减轻病人的炎症，简单的 ...,https://xw.qq.com/cmsid/20200304A05VM9,xw.qq.com › cmsid,2020年3月4日,10,0
30,吃降压药会增加感染病毒的风险,​吃降压药会加速新冠病毒复制？专家：不建议停用-科技新闻 ...,2020年3月5日 - 另外，机体感染病毒与否，主要看病毒接触的剂量、毒株等，并不是一味的降低ACE2就可以。服用ACEI/ARB药物会增加感染新冠病毒风险的结论 ...,http://stdaily.com/index/kejixinwen/2020-03/05/content_894856.shtml,stdaily.com › index › kejixinwen › content_894856,2020年3月5日,11,0
31,吃降压药会增加感染病毒的风险,【辟谣】服用降压药会增加感染新冠病毒的风险？假的_辟谣平台_ ...,2020年3月2日 - 谣言1. 服用降压药会增加感染新冠病毒的风险？假的. 网传消息称，ACE2（肽基二肽酶A）是新型冠状病毒入侵人体的关键，服用ACEI（血管紧张素 ...,http://www.cnts.gov.cn/tssrmzf/tsyw/ztbd/fkjc/pypt/content/post_1999312.html,www.cnts.gov.cn › fkjc › pypt › content › post_1999312,2020年3月2日,12,0
32,吃降压药会增加感染病毒的风险,"学者研究判定：降压药阻击新冠肺炎是""协警""而非""帮凶""_手机 ...",2020年4月27日 - 有人认为，“普利类”降压药能降低新冠病毒的感染，是捉拿新冠病毒的“协警”。 ... 一端”，会引发组织损伤和疾病进展，而吃降压药会使得ACE2蛋白增加， ... 我们发现服用普利类/沙坦类降压药与新冠肺炎患者死亡风险的降低密切相关。,https://finance.sina.cn/2020-04-27/detail-iircuyvi0021666.d.html?cre=tianyi&mod=wpage&loc=3&r=32&rfunc=96&tj=none&tr=32,finance.sina.cn › detail-iircuyvi0021666.d.html,2020年4月27日,13,0
33,吃降压药会增加感染病毒的风险,吃降压药会增加新冠病毒感染概率？,2020年3月3日 - 吃降压药会增加新冠病毒感染概率？ ... 谣言：网传消息称，ACE2是新型冠状病毒入侵人体的关键，高血压患者所服用的ACEI类的降压药，会增加ACE2 ... 服用ACEI/ARB药物会增加感染新冠病毒风险的结论仅仅只是理论上的推导。,http://sa.sogou.com/sgsearch/sgs_tc_news.php?req=YITbentS8F8haw2P55CfCOyXHQHzaLAIdnF-J_NJUrc=,sa.sogou.com › sgsearch › sgs_tc_news,2020年3月3日,14,0
34,吃降压药会增加感染病毒的风险,服用降压药会加速新冠病毒复制，疫情期间应停服？谣言！_ ...,2020年2月27日 - 为减少新冠病毒的入侵靶点而贸然停用ACEI等降压药不明智。 ... 服用ACEI/ARB药物会增加感染新冠病毒风险的结论仅仅只是理论上的推导。目前还 ...,https://jiankang.163.com/20/0227/13/F6D5PPAJ0038804F.html,jiankang.163.com › 健康频道,2020年2月27日,15,0
35,吃降压药会增加感染病毒的风险,每日一问：服用降压药会增加感染新冠病毒的风险？-热备资讯,2020年6月6日 - 因现有研究显示ACE2是新型冠状病毒入侵人体的关键，网传服用ACEI (血管紧张素转化酶抑制剂)类降压药会增加感染新冠病毒的风险。但目前没有 ...,https://www.hotbak.net/key/%E6%9C%8D%E7%94%A8%E9%99%8D%E5%8E%8B%E8%8D%AF%E4%BC%9A%E5%A2%9E%E5%8A%A0%E6%84%9F%E6%9F%93%E6%96%B0%E5%86%A0%E7%97%85%E6%AF%92%E7%9A%84%E9%A3%8E%E9%99%A9%E5%90%97%E7%9C%8B%E7%82%B9%E5%BF%AB%E6%8A%A5.html,www.hotbak.net › key › 服用降压药会增加感染新冠病...,2020年6月6日,16,0
36,吃降压药会增加感染病毒的风险,高血压必看！这类降压药和新冠病毒“是敌是友”？终于有人搞 ...,2020年4月18日 - 有人认为，“普利类”降压药能降低新冠病毒的感染，是捉拿新冠病毒的“协警”，不过这类声音有人辟谣。 ... 一端”，会引发组织损伤和疾病进展，而吃降压药会使得ACE2蛋白增加， ... 部分学者提出服用降压药会增加新冠病毒感染的风险。,https://www.thepaper.cn/newsDetail_forward_7032383,www.thepaper.cn › newsDetail_forward_7032383,2020年4月18日,17,0
37,吃降压药会增加感染病毒的风险,今日辟谣|服用降压药会增加感染新冠病毒的风险？假的_南方网,2020年3月1日 - 网传消息称，ACE2（肽基二肽酶A）是新型冠状病毒入侵人体的关键，服用ACEI（血管紧张素转化酶抑制剂）类降压药会增加ACE2浓度，从而增加感染 ...,http://news.southcn.com/nfplus/nftz/content/2020-03/01/content_190471042.htm,news.southcn.com › 南方plus › 南方探针,2020年3月1日,18,0
38,吃降压药会增加感染病毒的风险,谣言:降压药会加重已感染新冠病毒的高血压患者病情-深圳科普网,2020年3月18日 - 谣言:降压药会加重已感染新冠病毒的高血压患者病情. ... 这意味着对于已经感染新型冠状病毒的患者，可能因增加病毒复制加重对机体的损伤风险。,http://www.kepusz.com/mobile/knowledge-detail/i-3720.html,www.kepusz.com › mobile › knowledge-detail,2020年3月18日,19,0
39,吃降压药会增加感染病毒的风险,新研究：ACEI和ARB降血壓藥不會增加COVID-19感染風險 ...,1 天前 - 新研究：ACEI和ARB降血壓藥不會增加COVID-19感染風險 ... 抗高血壓藥恐增加感染2019冠狀病毒疾病（COVID-19）的風險並不會發生。 ... 這份研究分析美國與西班牙110萬名服用降壓藥患者的電子病歷，不過研究尚未經同儕審查。,https://tw.stock.yahoo.com/news/%E6%96%B0%E7%A0%94%E7%A9%B6-acei%E5%92%8Carb%E9%99%8D%E8%A1%80%E5%A3%93%E8%97%A5-%E4%B8%8D%E6%9C%83%E5%A2%9E%E5%8A%A0covid-19%E6%84%9F%E6%9F%93%E9%A2%A8%E9%9A%AA-084259725.html,tw.stock.yahoo.com › news › 新研究-ace...,1 天前,20,0
40,改用吸痰机后，武汉死亡人数减半,较真查证:急救改用吸痰机，武汉疫情一天死亡人数减半？,2020年2月28日 - 流传说法：据疫情通报，武汉今天死亡人数首次下降一半，从每天一百多人，突然降至五十多人。 ... 昨天开始，急救改用吸痰机，一下子死亡人数减半。 ... 自2月16日凌晨完成第一例新冠肺炎逝者遗体解剖之后，刘良与其团队至今已经 ...,https://vp.fact.qq.com/article?id=94b8cf922a288b17fc4dd975ac96a444,vp.fact.qq.com › article,2020年2月28日,1,0
41,改用吸痰机后，武汉死亡人数减半,改用吸痰机救治新冠肺炎患者可降低死亡率？误区-中国互联网 ...,2020年2月29日 - 因而有观点认为，使用呼吸机，粘液难以排出，形成大量痰液栓塞，导致患者最终缺氧而死，而改用吸痰机之后，死亡人数减半。 遗体解剖报告的作者认为，这 ... 昨天开始，急救改用吸痰机，一下子死亡人数减半。”财新网引述报告的撰写者之 ... 武汉新冠肺炎死亡人数减少是防控整体效果显现. 浙大邵逸夫医院呼吸治疗科 ...,http://www.piyao.org.cn/2020-02/29/c_1210495148.htm,www.piyao.org.cn › ...,2020年2月29日,2,0
42,改用吸痰机后，武汉死亡人数减半,改用吸痰机可以降低死亡率？专家称这是非专业人士的想象| 每 ...,2020年2月28日 - ... 出现大量痰栓，最终致人缺氧死亡，急救改用吸痰机后，死亡人数减半。 ... 例（武汉市131例）开始下降，2月24日湖北全省新增病亡68例（武汉市56 ...,http://www.nbd.com.cn/articles/2020-02-28/1412424.html,www.nbd.com.cn › articles,2020年2月28日,3,0
43,改用吸痰机后，武汉死亡人数减半,"辟谣侠盟丨""急救改用吸痰机，武汉疫情死亡人数减半""是谣言- 新 ...",2020年2月29日 - 传言随即话锋一转，称痰栓出现是因为使用了呼吸机，而改用吸痰机后，“武汉今天死亡人数首次下降一半，从每天一百多人，突降至五十多人”。为了让 ...,https://m.voc.com.cn/wxhn/article/202002/202002291318572128.html,m.voc.com.cn › wxhn › article,2020年2月29日,4,0
44,改用吸痰机后，武汉死亡人数减半,急救改用吸痰机，武汉疫情死亡人数减半？腾讯“较真”为“谣言”,急救改用吸痰机，武汉疫情死亡人数减半？腾讯“较真”为“谣言”. subtitle 华闻之声02-29 00:42. 华闻之声全媒体联播网综合报道（记者彭潇潇）今天（2月28日），网络 ...,http://dy.163.com/v2/article/detail/F6GV7NJV0525F6LT.html,dy.163.com › article › detail,,5,0
45,改用吸痰机后，武汉死亡人数减半,"王局志安on Twitter: ""好消息：从昨天开始，武汉地区的死亡率 ...",2020年2月27日 - 痰栓是由呼吸机使用所产生，最终致人缺氧而死。从昨天昨天开始，新冠肺炎危重患者的急救改用吸痰机，一下子死亡人数就减半了。 10:40 PM - 27 ...,https://twitter.com/wangzhian8848/status/1233280845584056320,twitter.com › wangzhian8848 › status,2020年2月27日,6,0
46,改用吸痰机后，武汉死亡人数减半,微博,昨天开始，急救改用吸痰机，帮助武汉死亡人数减半，这需要感谢遗体捐献者和同济 ... 表示：「痰栓不是呼吸机导致的，而是由肺部黏液病变形成的，属于疾病损害后的 ...,https://m.weibo.cn/status/4476956605165962,m.weibo.cn › status,,7,0
47,改用吸痰机后，武汉死亡人数减半,尸检“颠覆”新冠治疗？一线医生：基本思路没变—新闻—科学网,2020年2月29日 - 发布当天便有消息称，尸检报告“颠覆”现有治疗方案，使武汉死亡人数下降 ... 病理解剖结果，“急救改用吸痰机”，这导致了今天武汉的死亡人数减半。,http://news.sciencenet.cn/htmlnews/2020/2/436426.shtm,news.sciencenet.cn › htmlnews,2020年2月29日,8,0
48,改用吸痰机后，武汉死亡人数减半,急救改用吸痰机，武汉疫情一天死亡人数减半？_内蒙古辟谣平台,2020年2月29日 - ... 解剖发现死亡者肺部出现大量痰栓，痰栓是由呼吸机使用所形成的，痰栓最终致人缺氧而死。昨天开始，急救改用吸痰机，一下子死亡人数减半。,http://py.hlnmg.com/weixin/4179.html,py.hlnmg.com › weixin,2020年2月29日,9,0
49,改用吸痰机后，武汉死亡人数减半,“急救改用吸痰机，武汉一天疫情死亡人数减半”是谣言！_手机 ...,2020年2月29日 - 急救改用吸痰机，武汉一天疫情死亡人数减半”是谣言！ ... 自2月16日凌晨完成第一例新冠肺炎逝者遗体解剖之后，刘良与其团队至今已经获得了9例 ...,https://3g.163.com/air/article_cambrian/F6HH4AVU05404HQR.html,3g.163.com › air › article_cambrian,2020年2月29日,10,0
50,改用吸痰机后，武汉死亡人数减半,呼吸机导致病人被痰栓憋死？不要断章取义_湃客_澎湃新闻 ...,2020年3月7日 - 尸体解剖发现死者肺部出现大量痰栓，是由呼吸机使用所产生，致人缺氧而死。急救改用吸痰机后，武汉死亡人数减半，这需要感谢遗体捐献者和同济 ...,https://www.thepaper.cn/newsDetail_forward_6372177,www.thepaper.cn › newsDetail_forward_6372177,2020年3月7日,11,0
51,改用吸痰机后，武汉死亡人数减半,乐普医生-新型肺炎科学辟谣,未证改用吸痰机后，武汉死亡人数减半？ 未证吃降压药会增加感染病毒的风险？ 未证可在家使用新冠病毒试剂盒自测？ 未证第一例新冠肺炎患者来自美国？,https://www.ixinzang.com/pneumonia/pneumonia_rumors.jsp,www.ixinzang.com › pneumonia › pneumonia_rumors,,12,0
52,改用吸痰机后，武汉死亡人数减半,较真|辟谣！“急救改用吸痰机，武汉疫情死亡人数减半”是谣言！,2020年2月28日 - 急救改用吸痰机，武汉疫情死亡人数减半”是谣言！ 02-28较真. 该报告表示，这例患者肺部损伤明显，提示新冠肺炎主要引起深部气道和肺泡损伤为 ...,http://www.latiaozixun.net/m/20200228/71F010F1EF151F8A89570028071775D2-3.html,www.latiaozixun.net › ...,2020年2月28日,13,0
53,改用吸痰机后，武汉死亡人数减半,首例新冠肺炎逝者尸检报告发布：或将进一步推动现有诊疗方案 ...,2020年2月28日 - 入院后28 天死亡，临床死亡原因诊断为「新型冠状病毒肺炎、呼吸衰竭」。 ... 昨天开始，急救改用吸痰机，帮助武汉死亡人数减半，这需要感谢遗体 ...,https://www.labagd.com/Item/82933.aspx,www.labagd.com › Item,2020年2月28日,14,0
54,改用吸痰机后，武汉死亡人数减半,保兴康呼吁：疫情结束后，应该尽快让家用医疗器械进入家庭- 知乎,2020年2月28日 - 急救改用吸痰机，武汉疫情死亡人数减半”是谣言，华中科技大学同济医学院法医系教授刘良在自己的自媒体上辟谣。我们不是专业人士，不去探讨 ...,https://zhuanlan.zhihu.com/p/109932101,zhuanlan.zhihu.com › ...,2020年2月28日,15,0
55,改用吸痰机后，武汉死亡人数减半,新冠肺炎诊疗方案再次更新这些重大变化或助死亡病例减少,2020年3月3日 - 该通知表示，根据中国科学院武汉病毒所通报，磷酸氯喹在成人中的致死剂量是2-4g，而且是急性致死。 ... 目前，调整后的磷酸氯喹治疗新冠肺炎用法用量已被第七版《诊疗方案》采用。 ... 后急救改用吸痰机，一下子死亡人数减半”。,https://www.chinastarmarket.cn/detail/451817,www.chinastarmarket.cn › detail,2020年3月3日,16,0
56,改用吸痰机后，武汉死亡人数减半,武汉死亡人数突然减半是这个原因！ 据疫情通报，武汉今天死亡 ...,原因是病患遗体解剖发现死亡者肺部出现大量痰栓，痰栓是由呼吸机使用所产生，痰栓最终致人缺氧而死。昨天开始，急救改用吸痰机，一下子死亡人数减半。 这一要 ...,https://xueqiu.com/7033545077/142442841,xueqiu.com › ...,,17,0
57,改用吸痰机后，武汉死亡人数减半,闢謠：急救，把呼吸機改用吸痰機，新冠肺炎死亡減半？ - 每日頭條,2020年2月29日 - 闢謠：急救，把呼吸機改用吸痰機，新冠肺炎死亡減半？ ... 痰栓，最終導致患者缺氧死亡，而改用吸痰機吸痰搶救，死亡率一下子減了一半，感謝某某教授及其團隊等」。 ... 今早看到一則新聞，是武漢同濟醫院一個醫生髮的，說又一個ECMO患者脫機了，總共 ... 武漢死亡人數居高，是因用呼吸機後產生痰栓致人缺氧？,https://kknews.cc/n/3yjnl2y.html,kknews.cc › ...,2020年2月29日,18,0
58,改用吸痰机后，武汉死亡人数减半,【辟谣】改用吸痰机救治新冠肺炎患者可降低死亡率？误区-新型 ...,2020年3月5日 - 因而有观点认为，使用呼吸机，粘液难以排出，形成大量痰液栓塞，导致患者最终缺氧而死，而改用吸痰机之后，死亡人数减半。遗体解剖报告.,https://www.pxcodes.com/News/158340079857534.html,www.pxcodes.com › News,2020年3月5日,19,0
